	North water	South water
Abundance [cell/cm3]	4.1594e+02	4.2120e+02
Biovolume [um3/cell]	88.6775	67.8962
Qc [fgC/cell]	1.2852e+04	1.0108e+04
Biomass [mmolC/m3]	0.4451	0.3545
