# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.740203421597472544e-01
2.000000000000000111e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.740203421597472544e-01
3.000000000000000444e-01 6.168424412694337722e-01 1.035016735864022625e-01 6.134883204312848726e-01 4.492814526980689060e-01
4.000000000000000222e-01 6.168424412694337722e-01 1.035016735864022625e-01 6.134883204312848726e-01 4.492814526980689060e-01
5.000000000000000000e-01 6.229397993299869984e-01 1.050272241525023464e-01 6.205770812300168693e-01 4.258756230597384174e-01
6.000000000000000888e-01 6.229397993299869984e-01 1.050272241525023464e-01 6.205770812300168693e-01 4.258756230597384174e-01
7.000000000000000666e-01 6.274300274431615643e-01 1.064012167810048926e-01 6.278554634154236425e-01 4.038731014758679128e-01
8.000000000000000444e-01 6.274300274431615643e-01 1.064012167810048926e-01 6.278554634154236425e-01 4.038731014758679128e-01
9.000000000000000222e-01 6.302993782943389078e-01 1.076250997882376159e-01 6.352908429640471422e-01 3.833211508132456924e-01
1.000000000000000000e+00 6.302993782943389078e-01 1.076250997882376159e-01 6.352908429640471422e-01 3.833211508132456924e-01
1.100000000000000089e+00 6.315577501400635452e-01 1.087021218702899500e-01 6.428489864810688070e-01 3.642440556666393103e-01
1.200000000000000178e+00 6.315577501400635452e-01 1.087021218702899500e-01 6.428489864810688070e-01 3.642440556666393103e-01
1.300000000000000044e+00 6.312375424741142327e-01 1.096371207105107243e-01 6.504944497977972473e-01 3.466440423558115325e-01
1.400000000000000133e+00 6.312375424741142327e-01 1.096371207105107243e-01 6.504944497977972473e-01 3.466440423558115325e-01
1.500000000000000000e+00 6.293917088329250564e-01 1.104362746072898860e-01 6.581910007717796107e-01 3.305030039093884153e-01
1.600000000000000089e+00 6.293917088329250564e-01 1.104362746072898860e-01 6.581910007717796107e-01 3.305030039093884153e-01
1.700000000000000178e+00 6.260911717424004763e-01 1.111068333351634962e-01 6.659020516426419345e-01 3.157848655396607862e-01
1.800000000000000044e+00 6.260911717424004763e-01 1.111068333351634962e-01 6.659020516426419345e-01 3.157848655396607862e-01
1.900000000000000133e+00 6.214217998292667078e-01 1.116568440950162361e-01 6.735910867182964834e-01 3.024383911671371106e-01
2.000000000000000000e+00 6.214217998292667078e-01 1.116568440950162361e-01 6.735910867182964834e-01 3.024383911671371106e-01
2.100000000000000089e+00 6.154811581961038280e-01 1.120948866614384781e-01 6.812220725590502068e-01 2.904002207950902581e-01
2.200000000000000178e+00 6.154811581961038280e-01 1.120948866614384781e-01 6.812220725590502068e-01 2.904002207950902581e-01
2.300000000000000266e+00 6.083752318085463573e-01 1.124298290927460559e-01 6.887598399459344822e-01 2.795979403251706019e-01
2.400000000000000355e+00 6.083752318085463573e-01 1.124298290927460559e-01 6.887598399459344822e-01 2.795979403251706019e-01
2.500000000000000000e+00 6.002152926984113401e-01 1.126706121041795156e-01 6.961704294594527331e-01 2.699530147908011934e-01
2.600000000000000089e+00 6.002152926984113401e-01 1.126706121041795156e-01 6.961704294594527331e-01 2.699530147908011934e-01
2.700000000000000178e+00 5.911150419327376726e-01 1.128260668732508770e-01 7.034213951489343142e-01 2.613834561815212010e-01
2.800000000000000266e+00 5.911150419327376726e-01 1.128260668732508770e-01 7.034213951489343142e-01 2.613834561815212010e-01
2.900000000000000355e+00 5.811881134842655783e-01 1.129047680162522382e-01 7.104820632794474067e-01 2.538061410290338715e-01
3.000000000000000000e+00 5.811881134842655783e-01 1.129047680162522382e-01 7.104820632794474067e-01 2.538061410290338715e-01
3.100000000000000089e+00 5.705459852874734672e-01 1.129149209890668581e-01 7.173237453165066668e-01 2.471387347794150591e-01
3.200000000000000178e+00 5.705459852874734672e-01 1.129149209890668581e-01 7.173237453165066668e-01 2.471387347794150591e-01
3.300000000000000266e+00 5.592963070259765468e-01 1.128642813357226687e-01 7.239199060465567603e-01 2.413012155473926723e-01
3.400000000000000355e+00 5.592963070259765468e-01 1.128642813357226687e-01 7.239199060465567603e-01 2.413012155473926723e-01
3.500000000000000000e+00 5.475416267618984367e-01 1.127601020363165063e-01 7.302462890076212298e-01 2.362170169808688047e-01
3.600000000000000089e+00 5.475416267618984367e-01 1.127601020363165063e-01 7.302462890076212298e-01 2.362170169808688047e-01
3.700000000000000178e+00 5.353784798599252603e-01 1.126091046163600895e-01 7.362810022514717501e-01 2.318138282252084070e-01
3.800000000000000266e+00 5.353784798599252603e-01 1.126091046163600895e-01 7.362810022514717501e-01 2.318138282252084070e-01
3.900000000000000355e+00 5.228967930143983978e-01 1.124174695543393721e-01 7.420045679436230168e-01 2.280240991734077127e-01
4.000000000000000000e+00 5.228967930143983978e-01 1.124174695543393721e-01 7.420045679436230168e-01 2.280240991734077127e-01
4.100000000000000533e+00 5.101795520845735510e-01 1.121908417329425811e-01 7.473999395128172463e-01 2.247853028289274746e-01
4.200000000000000178e+00 5.101795520845735510e-01 1.121908417329425811e-01 7.473999395128172463e-01 2.247853028289274746e-01
4.299999999999999822e+00 4.973026831557320615e-01 1.119343471001136986e-01 7.524524900691670348e-01 2.220400054460096306e-01
4.400000000000000355e+00 4.973026831557320615e-01 1.119343471001136986e-01 7.524524900691670348e-01 2.220400054460096306e-01
4.500000000000000000e+00 4.843351001180860038e-01 1.116526172373335374e-01 7.571499756908601775e-01 2.197357908211629574e-01
4.600000000000000533e+00 4.843351001180860038e-01 1.116526172373335374e-01 7.571499756908601775e-01 2.197357908211629574e-01
4.700000000000000178e+00 4.713388776949700154e-01 1.113498190976477120e-01 7.614824769890699008e-01 2.178250790976541951e-01
4.800000000000000711e+00 4.713388776949700154e-01 1.113498190976477120e-01 7.614824769890699008e-01 2.178250790976541951e-01
4.900000000000000355e+00 4.583695151916850619e-01 1.110296877224047768e-01 7.654423221391013499e-01 2.162648737838291368e-01
5.000000000000000000e+00 4.583695151916850619e-01 1.110296877224047768e-01 7.654423221391013499e-01 2.162648737838291368e-01
5.100000000000000533e+00 4.454762625394955711e-01 1.106955602414713552e-01 7.690239943381508292e-01 2.150164641156619982e-01
