	North water	South water
Abundance [cell/cm3]	1.4514e+01	7.1994e+00
Biovolume [um3/cell]	241.8282	272.5377
Qc [fgC/cell]	2.4546e+04	2.6940e+04
Biomass [mmolC/m3]	0.0297	0.0161
