# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.830203421597472624e-01
2.000000000000000111e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.830203421597472624e-01
3.000000000000000444e-01 6.173408389212151626e-01 1.035644929977345974e-01 6.134883204312848726e-01 4.667202356349550718e-01
4.000000000000000222e-01 6.173408389212151626e-01 1.035644929977345974e-01 6.134883204312848726e-01 4.667202356349550718e-01
5.000000000000000000e-01 6.244520781381970309e-01 1.052162481092760171e-01 6.205880867416692093e-01 4.511611136807719413e-01
6.000000000000000888e-01 6.244520781381970309e-01 1.052162481092760171e-01 6.205880867416692093e-01 4.511611136807719413e-01
7.000000000000000666e-01 6.304769583537872535e-01 1.067793612887123766e-01 6.279002485179628890e-01 4.363940848961884167e-01
8.000000000000000444e-01 6.304769583537872535e-01 1.067793612887123766e-01 6.279002485179628890e-01 4.363940848961884167e-01
9.000000000000000222e-01 6.353949271786470954e-01 1.082538475507437703e-01 6.354045254241335039e-01 4.224594214395397396e-01
1.000000000000000000e+00 6.353949271786470954e-01 1.082538475507437703e-01 6.354045254241335039e-01 4.224594214395397396e-01
1.100000000000000089e+00 6.391973009497337044e-01 1.096406682727704002e-01 6.430793874859322967e-01 4.093863829154469891e-01
1.200000000000000178e+00 6.391973009497337044e-01 1.096406682727704002e-01 6.430793874859322967e-01 4.093863829154469891e-01
1.300000000000000044e+00 6.418870154784033222e-01 1.109416605700390551e-01 6.509022195364624341e-01 3.971933690996791722e-01
1.400000000000000133e+00 6.418870154784033222e-01 1.109416605700390551e-01 6.509022195364624341e-01 3.971933690996791722e-01
1.500000000000000000e+00 6.434780705466940365e-01 1.121594494828757060e-01 6.588495009712962425e-01 3.858883759413331838e-01
1.600000000000000089e+00 6.434780705466940365e-01 1.121594494828757060e-01 6.588495009712962425e-01 3.858883759413331838e-01
1.700000000000000178e+00 6.439947097275031673e-01 1.132973476764312509e-01 6.668969963725862593e-01 3.754697134693902871e-01
1.800000000000000044e+00 6.439947097275031673e-01 1.132973476764312509e-01 6.668969963725862593e-01 3.754697134693902871e-01
1.900000000000000133e+00 6.434703886251168514e-01 1.143592475535533531e-01 6.750199524625400960e-01 3.659269326797545130e-01
2.000000000000000000e+00 6.434703886251168514e-01 1.143592475535533531e-01 6.750199524625400960e-01 3.659269326797545130e-01
2.100000000000000089e+00 6.419465912201350877e-01 1.153495105341559163e-01 6.831932969834008107e-01 3.572419019337889634e-01
2.200000000000000178e+00 6.419465912201350877e-01 1.153495105341559163e-01 6.831932969834008107e-01 3.572419019337889634e-01
2.300000000000000266e+00 6.394715555557554110e-01 1.162728578127400353e-01 6.913918354387718068e-01 3.493899719470535681e-01
2.400000000000000355e+00 6.394715555557554110e-01 1.162728578127400353e-01 6.913918354387718068e-01 3.493899719470535681e-01
2.500000000000000000e+00 6.360989670095730242e-01 1.171342662460829326e-01 6.995904421201807333e-01 3.423411715780380060e-01
2.600000000000000089e+00 6.360989670095730242e-01 1.171342662460829326e-01 6.995904421201807333e-01 3.423411715780380060e-01
2.700000000000000178e+00 6.318866707879621236e-01 1.179388722327123912e-01 7.077642424266733512e-01 3.360613833874596112e-01
2.800000000000000266e+00 6.318866707879621236e-01 1.179388722327123912e-01 7.077642424266733512e-01 3.360613833874596112e-01
2.900000000000000355e+00 6.268954462359082047e-01 1.186918856099334202e-01 7.158887841081036374e-01 3.305134571314168879e-01
3.000000000000000000e+00 6.268954462359082047e-01 1.186918856099334202e-01 7.158887841081036374e-01 3.305134571314168879e-01
3.100000000000000089e+00 6.211878752966669692e-01 1.193985147864953800e-01 7.239401956756833512e-01 3.256582297371572454e-01
3.200000000000000178e+00 6.211878752966669692e-01 1.193985147864953800e-01 7.239401956756833512e-01 3.256582297371572454e-01
3.300000000000000266e+00 6.148273270848892968e-01 1.200639036052587871e-01 7.318953307883389048e-01 3.214554307752860440e-01
3.400000000000000355e+00 6.148273270848892968e-01 1.200639036052587871e-01 7.318953307883389048e-01 3.214554307752860440e-01
3.500000000000000000e+00 6.078770709245399084e-01 1.206930798260812399e-01 7.397318979154205998e-01 3.178644621105380375e-01
3.600000000000000089e+00 6.078770709245399084e-01 1.206930798260812399e-01 7.397318979154205998e-01 3.178644621105380375e-01
3.700000000000000178e+00 6.003995219385692694e-01 1.212909146510367797e-01 7.474285749827738190e-01 3.148450486940815862e-01
3.800000000000000266e+00 6.003995219385692694e-01 1.212909146510367797e-01 7.474285749827738190e-01 3.148450486940815862e-01
3.900000000000000355e+00 5.924556166724317396e-01 1.218620923824441649e-01 7.549651090283402421e-01 3.123577640444774040e-01
4.000000000000000000e+00 5.924556166724317396e-01 1.218620923824441649e-01 7.549651090283402421e-01 3.123577640444774040e-01
4.100000000000000533e+00 5.841043113620352223e-01 1.224110890977272159e-01 7.623224011315802295e-01 3.103644387824245343e-01
4.200000000000000178e+00 5.841043113620352223e-01 1.224110890977272159e-01 7.623224011315802295e-01 3.103644387824245343e-01
4.299999999999999822e+00 5.754021922146762558e-01 1.229421591253266471e-01 7.694825770495457018e-01 3.088284637457268667e-01
4.400000000000000355e+00 5.754021922146762558e-01 1.229421591253266471e-01 7.694825770495457018e-01 3.088284637457268667e-01
4.500000000000000000e+00 5.664031852413873303e-01 1.234593280908809765e-01 7.764290441052827951e-01 3.077150009388088248e-01
4.600000000000000533e+00 5.664031852413873303e-01 1.234593280908809765e-01 7.764290441052827951e-01 3.077150009388088248e-01
4.700000000000000178e+00 5.571583524873474635e-01 1.239663913506099530e-01 7.831465349456012692e-01 3.069911161447084758e-01
4.800000000000000711e+00 5.571583524873474635e-01 1.239663913506099530e-01 7.831465349456012692e-01 3.069911161447084758e-01
4.900000000000000355e+00 5.477157616691908926e-01 1.244669167190330522e-01 7.896211388280551802e-01 3.066258467361425155e-01
5.000000000000000000e+00 5.477157616691908926e-01 1.244669167190330522e-01 7.896211388280551802e-01 3.066258467361425155e-01
5.100000000000000533e+00 5.381204169800767323e-01 1.249642505136515508e-01 7.958403211220200779e-01 3.065902173345161352e-01
5.200000000000000178e+00 5.381204169800767323e-01 1.249642505136515508e-01 7.958403211220200779e-01 3.065902173345161352e-01
5.300000000000000711e+00 5.284142399393649825e-01 1.254615260663466958e-01 8.017929317242364906e-01 3.068572147113580728e-01
5.400000000000000355e+00 5.284142399393649825e-01 1.254615260663466958e-01 8.017929317242364906e-01 3.068572147113580728e-01
5.500000000000000000e+00 5.186360904635565205e-01 1.259616739798022356e-01 8.074692031007706383e-01 3.074017318890951977e-01
5.600000000000000533e+00 5.186360904635565205e-01 1.259616739798022356e-01 8.074692031007706383e-01 3.074017318890951977e-01
5.700000000000000178e+00 5.088218196844228602e-01 1.264674335301739783e-01 8.128607386784005850e-01 3.082004899146350008e-01
5.800000000000000711e+00 5.088218196844228602e-01 1.264674335301739783e-01 8.128607386784005850e-01 3.082004899146350008e-01
5.900000000000000355e+00 4.990043473458891654e-01 1.269813647300264969e-01 8.179604923204474298e-01 3.092319443456056360e-01
6.000000000000000000e+00 4.990043473458891654e-01 1.269813647300264969e-01 8.179604923204474298e-01 3.092319443456056360e-01
6.100000000000000533e+00 4.892137578145049348e-01 1.275058606658057425e-01 8.227627396351263611e-01 3.104761821662931354e-01
6.200000000000000178e+00 4.892137578145049348e-01 1.275058606658057425e-01 8.227627396351263611e-01 3.104761821662931354e-01
6.300000000000000711e+00 4.794774098074116031e-01 1.280431598108965896e-01 8.272630418777124905e-01 3.119148136721185405e-01
6.400000000000000355e+00 4.794774098074116031e-01 1.280431598108965896e-01 8.272630418777124905e-01 3.119148136721185405e-01
6.500000000000000000e+00 4.698200558645203029e-01 1.285953580887575498e-01 8.314582032197930239e-01 3.135308628416093590e-01
6.600000000000000533e+00 4.698200558645203029e-01 1.285953580887575498e-01 8.314582032197930239e-01 3.135308628416093590e-01
6.700000000000000178e+00 4.602639683696405082e-01 1.291644205215416175e-01 8.353462221679673894e-01 3.153086588530228385e-01
6.800000000000000711e+00 4.602639683696405082e-01 1.291644205215416175e-01 8.353462221679673894e-01 3.153086588530228385e-01
6.900000000000000355e+00 4.508290695686603677e-01 1.297521923492043483e-01 8.389262379189906804e-01 3.172337306898836418e-01
7.000000000000000000e+00 4.508290695686603677e-01 1.297521923492043483e-01 8.389262379189906804e-01 3.172337306898836418e-01
7.100000000000000533e+00 4.415330635564219119e-01 1.303604095437493338e-01 8.421984724371627262e-01 3.192927062013633521e-01
7.200000000000000178e+00 4.415330635564219119e-01 1.303604095437493338e-01 8.421984724371627262e-01 3.192927062013633521e-01
7.300000000000000711e+00 4.323915686245378698e-01 1.309907086743865856e-01 8.451641690317388544e-01 3.214732165229238214e-01
7.400000000000000355e+00 4.323915686245378698e-01 1.309907086743865856e-01 8.451641690317388544e-01 3.214732165229238214e-01
7.500000000000000000e+00 4.234182486970530235e-01 1.316446361033409840e-01 8.478255281966431411e-01 3.237638064027407170e-01
7.600000000000000533e+00 4.234182486970530235e-01 1.316446361033409840e-01 8.478255281966431411e-01 3.237638064027407170e-01
7.700000000000000178e+00 4.146249428454925612e-01 1.323236565100943396e-01 8.501856414516004712e-01 3.261538507035920409e-01
7.800000000000000711e+00 4.146249428454925612e-01 1.323236565100943396e-01 8.501856414516004712e-01 3.261538507035920409e-01
7.900000000000000355e+00 4.060217920836671213e-01 1.330291607550805610e-01 8.522484238931160583e-01 3.286334771430572399e-01
8.000000000000000000e+00 4.060217920836671213e-01 1.330291607550805610e-01 8.522484238931160583e-01 3.286334771430572399e-01
8.099999999999999645e+00 3.976173628077903643e-01 1.337624731032391323e-01 8.540185461260499933e-01 3.311934951836894570e-01
8.200000000000001066e+00 3.976173628077903643e-01 1.337624731032391323e-01 8.540185461260499933e-01 3.311934951836894570e-01
8.300000000000000711e+00 3.894187663791008891e-01 1.345248578341761148e-01 8.555013662026137444e-01 3.338253308778595385e-01
8.400000000000000355e+00 3.894187663791008891e-01 1.345248578341761148e-01 8.555013662026137444e-01 3.338253308778595385e-01
8.500000000000000000e+00 3.814317744524087783e-01 1.353175252696602049e-01 8.567028621464568561e-01 3.365209673995866457e-01
