	North water	South water
Abundance [cell/cm3]	3.8729e+02	2.9426e+02
Biovolume [um3/cell]	87.2026	71.5466
Qc [fgC/cell]	1.2129e+04	1.0231e+04
Biomass [mmolC/m3]	0.391	0.2506
