	North water	South water
Abundance [cell/cm3]	8.4339e+02	2.5745e+03
Biovolume [um3/cell]	3.983	5.0203
Qc [fgC/cell]	7.6815e+02	9.5255e+02
Biomass [mmolC/m3]	0.0539	0.2042
