	North water	South water
Abundance [cell/cm3]	7.8452e+08	2.3213e+09
Biovolume [um3/cell]	4.4235	6.8679
Qc [fgC/cell]	8.4781e+02	1.2808e+03
Biomass [mmolC/m3]	55376.5316	247530.9908
