	North water	South water
Abundance [cell/cm3]	4.0854e+02	4.9390e+02
Biovolume [um3/cell]	34.8678	40.3666
Qc [fgC/cell]	5.8952e+03	6.7555e+03
Biomass [mmolC/m3]	0.2005	0.2778
