# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.761062857142857596e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.761062857142857596e-01
3.000000000000000444e-01 6.680267288892972610e-01 1.037713715201677434e-01 5.837495449560624605e-01 4.517773115905349135e-01
4.000000000000000222e-01 6.680267288892972610e-01 1.037713715201677434e-01 5.837495449560624605e-01 4.517773115905349135e-01
5.000000000000000000e-01 7.026569024797908458e-01 1.054510563459393757e-01 5.758333919659597289e-01 4.272187018091380128e-01
6.000000000000000888e-01 7.026569024797908458e-01 1.054510563459393757e-01 5.758333919659597289e-01 4.272187018091380128e-01
7.000000000000000666e-01 7.374272865120847786e-01 1.069763546189740760e-01 5.680523950649516429e-01 4.026505196797073305e-01
8.000000000000000444e-01 7.374272865120847786e-01 1.069763546189740760e-01 5.680523950649516429e-01 4.026505196797073305e-01
9.000000000000000222e-01 7.721198225816028327e-01 1.083367823092880738e-01 5.604035016207140618e-01 3.783017131050701032e-01
1.000000000000000000e+00 7.721198225816028327e-01 1.083367823092880738e-01 5.604035016207140618e-01 3.783017131050701032e-01
1.100000000000000089e+00 8.065120231327360667e-01 1.095241738582009711e-01 5.528837488882715201e-01 3.544033315098860104e-01
1.200000000000000178e+00 8.065120231327360667e-01 1.095241738582009711e-01 5.528837488882715201e-01 3.544033315098860104e-01
1.300000000000000044e+00 8.403843709786393834e-01 1.105329996320001534e-01 5.454902607167019246e-01 3.311808091368483864e-01
1.400000000000000133e+00 8.403843709786393834e-01 1.105329996320001534e-01 5.454902607167019246e-01 3.311808091368483864e-01
1.500000000000000000e+00 8.735282916810804821e-01 1.113605835336663463e-01 5.382202443998606034e-01 3.088457753148913243e-01
1.600000000000000089e+00 8.735282916810804821e-01 1.113605835336663463e-01 5.382202443998606034e-01 3.088457753148913243e-01
1.700000000000000178e+00 9.057541212521363905e-01 1.120071971282667195e-01 5.310709876638227689e-01 2.875879928824346399e-01
1.800000000000000044e+00 9.057541212521363905e-01 1.120071971282667195e-01 5.310709876638227689e-01 2.875879928824346399e-01
1.900000000000000133e+00 9.368984013588608217e-01 1.124760158191535631e-01 5.240398557841614569e-01 2.675681070478149182e-01
2.000000000000000000e+00 9.368984013588608217e-01 1.124760158191535631e-01 5.240398557841614569e-01 2.675681070478149182e-01
2.100000000000000089e+00 9.668298307778315781e-01 1.127729348869718068e-01 5.171242888265731308e-01 2.489118781283784221e-01
2.200000000000000178e+00 9.668298307778315781e-01 1.127729348869718068e-01 5.171242888265731308e-01 2.489118781283784221e-01
2.300000000000000266e+00 9.954533028425363028e-01 1.129062569555355916e-01 5.103217990047316244e-01 2.317064568615895825e-01
2.400000000000000355e+00 9.954533028425363028e-01 1.129062569555355916e-01 5.103217990047316244e-01 2.317064568615895825e-01
2.500000000000000000e+00 1.022711658902475618e+00 1.128862754862149653e-01 5.036299681495938207e-01 2.159990476679850835e-01
2.600000000000000089e+00 1.022711658902475618e+00 1.128862754862149653e-01 5.036299681495938207e-01 2.159990476679850835e-01
2.700000000000000178e+00 1.048585056441138308e+00 1.127247889446817419e-01 4.970464452847058734e-01 2.017980265753042679e-01
2.800000000000000266e+00 1.048585056441138308e+00 1.127247889446817419e-01 4.970464452847058734e-01 2.017980265753042679e-01
2.900000000000000355e+00 1.073088136646859203e+00 1.124345855548143369e-01 4.905689443023608654e-01 1.890762890953049391e-01
3.000000000000000000e+00 1.073088136646859203e+00 1.124345855548143369e-01 4.905689443023608654e-01 1.890762890953049391e-01
3.100000000000000089e+00 1.096265423032549036e+00 1.120289382772591408e-01 4.841952417357422433e-01 1.777763568200774746e-01
3.200000000000000178e+00 1.096265423032549036e+00 1.120289382772591408e-01 4.841952417357422433e-01 1.777763568200774746e-01
3.300000000000000266e+00 1.118185544114521202e+00 1.115211442465434410e-01 4.779231746224557043e-01 1.678166154940284593e-01
3.400000000000000355e+00 1.118185544114521202e+00 1.115211442465434410e-01 4.779231746224557043e-01 1.678166154940284593e-01
3.500000000000000000e+00 1.138934926901618683e+00 1.109241338181933545e-01 4.717506384550997911e-01 1.590980126591486077e-01
3.600000000000000089e+00 1.138934926901618683e+00 1.109241338181933545e-01 4.717506384550997911e-01 1.590980126591486077e-01
3.700000000000000178e+00 1.158611559428433191e+00 1.102501636200418772e-01 4.656755852147637653e-01 1.515106022458507229e-01
3.800000000000000266e+00 1.158611559428433191e+00 1.102501636200418772e-01 4.656755852147637653e-01 1.515106022458507229e-01
3.900000000000000355e+00 1.177319297214733718e+00 1.095105975597212428e-01 4.596960214835589253e-01 1.449394572755152710e-01
4.000000000000000000e+00 1.177319297214733718e+00 1.095105975597212428e-01 4.596960214835589253e-01 1.449394572755152710e-01
4.100000000000000533e+00 1.195163028137215200e+00 1.087157711254219256e-01 4.538100066324997073e-01 1.392696408517836715e-01
4.200000000000000178e+00 1.195163028137215200e+00 1.087157711254219256e-01 4.538100066324997073e-01 1.392696408517836715e-01
4.299999999999999822e+00 1.212244848802529473e+00 1.078749283358075295e-01 4.480156510812440263e-01 1.343900929959812030e-01
4.400000000000000355e+00 1.212244848802529473e+00 1.078749283358075295e-01 4.480156510812440263e-01 1.343900929959812030e-01
4.500000000000000000e+00 1.228661269138717760e+00 1.069962174665833737e-01 4.423111146263876692e-01 1.301964304822608443e-01
4.600000000000000533e+00 1.228661269138717760e+00 1.069962174665833737e-01 4.423111146263876692e-01 1.301964304822608443e-01
4.700000000000000178e+00 1.244501363705139863e+00 1.060867308231445844e-01 4.366946048351793563e-01 1.265927559031566341e-01
4.800000000000000711e+00 1.244501363705139863e+00 1.060867308231445844e-01 4.366946048351793563e-01 1.265927559031566341e-01
4.900000000000000355e+00 1.259845729939273129e+00 1.051525747007444889e-01 4.311643755016854040e-01 1.234926296059291051e-01
5.000000000000000000e+00 1.259845729939273129e+00 1.051525747007444889e-01 4.311643755016854040e-01 1.234926296059291051e-01
5.100000000000000533e+00 1.274766089475351860e+00 1.041989575916383720e-01 4.257187251625877966e-01 1.208193803054615351e-01
