	North water	South water
Abundance [cell/cm3]	5.5782e+02	9.1981e+02
Biovolume [um3/cell]	7.1548	6.7305
Qc [fgC/cell]	1.3319e+03	1.2572e+03
Biomass [mmolC/m3]	0.0619	0.0963
