	North water	South water
Abundance [cell/cm3]	2.1710e+02	2.1003e+02
Biovolume [um3/cell]	2.2602	2.1653
Qc [fgC/cell]	4.5143e+02	4.3354e+02
Biomass [mmolC/m3]	0.0082	0.0076
