# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 9.785497744360903416e-02 6.090018947368421864e-01 4.796319699248119961e-01
2.000000000000000111e-01 6.091755789473684013e-01 9.785497744360903416e-02 6.090018947368421864e-01 4.796319699248119961e-01
3.000000000000000444e-01 6.170374921596488704e-01 9.556511768915010308e-02 6.182590061140658122e-01 4.602554999486453413e-01
4.000000000000000222e-01 6.170374921596488704e-01 9.556511768915010308e-02 6.182590061140658122e-01 4.602554999486453413e-01
5.000000000000000000e-01 6.235372686830628064e-01 9.314490959737281583e-02 6.277452317910290347e-01 4.419301021155730425e-01
6.000000000000000888e-01 6.235372686830628064e-01 9.314490959737281583e-02 6.277452317910290347e-01 4.419301021155730425e-01
7.000000000000000666e-01 6.286433393649540902e-01 9.060979271878745467e-02 6.374321984104572847e-01 4.247005322462474863e-01
8.000000000000000444e-01 6.286433393649540902e-01 9.060979271878745467e-02 6.374321984104572847e-01 4.247005322462474863e-01
9.000000000000000222e-01 6.323413638913739643e-01 8.797586143789568047e-02 6.472894765730097255e-01 4.085965544285470874e-01
1.000000000000000000e+00 6.323413638913739643e-01 8.797586143789568047e-02 6.472894765730097255e-01 4.085965544285470874e-01
1.100000000000000089e+00 6.346340055714901895e-01 8.525956657305770736e-02 6.572848360944704149e-01 3.936332104597095594e-01
1.200000000000000178e+00 6.346340055714901895e-01 8.525956657305770736e-02 6.572848360944704149e-01 3.936332104597095594e-01
1.300000000000000044e+00 6.355401882791733570e-01 8.247742603095314928e-02 6.673845351071201470e-01 3.798115549899397370e-01
1.400000000000000133e+00 6.355401882791733570e-01 8.247742603095314928e-02 6.673845351071201470e-01 3.798115549899397370e-01
1.500000000000000000e+00 6.350939010730212164e-01 7.964575473627365232e-02 6.775536354841981135e-01 3.671197887207485744e-01
1.600000000000000089e+00 6.350939010730212164e-01 7.964575473627365232e-02 6.775536354841981135e-01 3.671197887207485744e-01
1.700000000000000178e+00 6.333426394503085533e-01 7.678042206513296941e-02 6.877563364547092384e-01 3.555347013706594006e-01
1.800000000000000044e+00 6.333426394503085533e-01 7.678042206513296941e-02 6.877563364547092384e-01 3.555347013706594006e-01
1.900000000000000133e+00 6.303455860362532359e-01 7.389664265306787605e-02 6.979563181405339378e-01 3.450233248882956238e-01
2.000000000000000000e+00 6.303455860362532359e-01 7.389664265306787605e-02 6.979563181405339378e-01 3.450233248882956238e-01
2.100000000000000089e+00 6.261716373235262090e-01 7.100880398799594428e-02 7.081170870439197351e-01 3.355446957974905220e-01
2.200000000000000178e+00 6.261716373235262090e-01 7.100880398799594428e-02 7.081170870439197351e-01 3.355446957974905220e-01
2.300000000000000266e+00 6.208973777879994715e-01 6.813033187280152780e-02 7.182023161576539527e-01 3.270516325267219804e-01
2.400000000000000355e+00 6.208973777879994715e-01 6.813033187280152780e-02 7.182023161576539527e-01 3.270516325267219804e-01
