	North water	South water
Abundance [cell/cm3]	3.3095e+02	5.0371e+02
Biovolume [um3/cell]	62.6814	58.1316
Qc [fgC/cell]	9.1296e+03	8.5579e+03
Biomass [mmolC/m3]	0.2516	0.3589
