	North water	South water
Abundance [cell/cm3]	3.8729e+08	2.9426e+08
Biovolume [um3/cell]	87.2026	71.5466
Qc [fgC/cell]	1.2126e+04	1.0231e+04
Biomass [mmolC/m3]	391007.8358	250637.7597
