# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.716062857142857001e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.716062857142857001e-01
3.000000000000000444e-01 6.677658381345585870e-01 1.037398389050969011e-01 5.837495449560624605e-01 4.430697349603444080e-01
4.000000000000000222e-01 6.677658381345585870e-01 1.037398389050969011e-01 5.837495449560624605e-01 4.430697349603444080e-01
5.000000000000000000e-01 7.018309488745202440e-01 1.053559699844932862e-01 5.758333919659597289e-01 4.146397417758546089e-01
6.000000000000000888e-01 7.018309488745202440e-01 1.053559699844932862e-01 5.758333919659597289e-01 4.146397417758546089e-01
7.000000000000000666e-01 7.356915359770478391e-01 1.067859633487138610e-01 5.680523950649516429e-01 3.865766614850044136e-01
8.000000000000000444e-01 7.356915359770478391e-01 1.067859633487138610e-01 5.680523950649516429e-01 3.865766614850044136e-01
9.000000000000000222e-01 7.690941427081559034e-01 1.080204203082833492e-01 5.604035016207140618e-01 3.591437549795216677e-01
1.000000000000000000e+00 7.690941427081559034e-01 1.080204203082833492e-01 5.604035016207140618e-01 3.591437549795216677e-01
1.100000000000000089e+00 8.017885658234277235e-01 1.090530883225757364e-01 5.528837488882715201e-01 3.325978743548194672e-01
1.200000000000000178e+00 8.017885658234277235e-01 1.090530883225757364e-01 5.528837488882715201e-01 3.325978743548194672e-01
1.300000000000000044e+00 8.335375850160715583e-01 1.098811378188093851e-01 5.454902607167019246e-01 3.071794569126068963e-01
1.400000000000000133e+00 8.335375850160715583e-01 1.098811378188093851e-01 5.454902607167019246e-01 3.071794569126068963e-01
1.500000000000000000e+00 8.641267698834114164e-01 1.105052828755837407e-01 5.382202443998606034e-01 2.831025977706427832e-01
1.600000000000000089e+00 8.641267698834114164e-01 1.105052828755837407e-01 5.382202443998606034e-01 2.831025977706427832e-01
