	North water	South water
Abundance [cell/cm3]	1.0245e+04	2.2547e+04
Biovolume [um3/cell]	0.3668	0.2252
Qc [fgC/cell]	8.1749e+01	5.1726e+01
Biomass [mmolC/m3]	0.0697	0.0971
