	North water	South water
Abundance [cell/cm3]	2.2803e+01	2.3547e+01
Biovolume [um3/cell]	100.5763	65.0977
Qc [fgC/cell]	1.3695e+04	9.4197e+03
Biomass [mmolC/m3]	0.026	0.0185
