	North water	South water
Abundance [cell/cm3]	1.2756e+07	8.9237e+06
Biovolume [um3/cell]	242.0428	289.1598
Qc [fgC/cell]	2.9161e+04	3.3765e+04
Biomass [mmolC/m3]	30970.0162	25086.3065
