# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.826203421597473064e-01
2.000000000000000111e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 4.826203421597473064e-01
3.000000000000000444e-01 6.173188164022909152e-01 1.035617079184116968e-01 6.134883204312848726e-01 4.659450432332021830e-01
4.000000000000000222e-01 6.173188164022909152e-01 1.035617079184116968e-01 6.134883204312848726e-01 4.659450432332021830e-01
5.000000000000000000e-01 6.243854624426962152e-01 1.052078766224858186e-01 6.205876005085689817e-01 4.500366843427833219e-01
6.000000000000000888e-01 6.243854624426962152e-01 1.052078766224858186e-01 6.205876005085689817e-01 4.500366843427833219e-01
7.000000000000000666e-01 6.303430734364898758e-01 1.067626241153635386e-01 6.278982747707990697e-01 4.349470842771541723e-01
8.000000000000000444e-01 6.303430734364898758e-01 1.067626241153635386e-01 6.278982747707990697e-01 4.349470842771541723e-01
9.000000000000000222e-01 6.351714394754998105e-01 1.082260231836029984e-01 6.353995259717772903e-01 4.207167775536654331e-01
1.000000000000000000e+00 6.351714394754998105e-01 1.082260231836029984e-01 6.353995259717772903e-01 4.207167775536654331e-01
1.100000000000000089e+00 6.388626535504824400e-01 1.095991248955172220e-01 6.430692731919872562e-01 4.073748470471007521e-01
1.200000000000000178e+00 6.388626535504824400e-01 1.095991248955172220e-01 6.430692731919872562e-01 4.073748470471007521e-01
1.300000000000000044e+00 6.414208309183642154e-01 1.108838832016825621e-01 6.508843447249396119e-01 3.949391032550776393e-01
1.400000000000000133e+00 6.414208309183642154e-01 1.108838832016825621e-01 6.508843447249396119e-01 3.949391032550776393e-01
1.500000000000000000e+00 6.428615069665660764e-01 1.120830616855485740e-01 6.588206665954701169e-01 3.834165822267260881e-01
1.600000000000000089e+00 6.428615069665660764e-01 1.120830616855485740e-01 6.588206665954701169e-01 3.834165822267260881e-01
1.700000000000000178e+00 6.432107585996789112e-01 1.132001274945143021e-01 6.668534619688449849e-01 3.728043173474706040e-01
1.800000000000000044e+00 6.432107585996789112e-01 1.132001274945143021e-01 6.668534619688449849e-01 3.728043173474706040e-01
1.900000000000000133e+00 6.425041063150848109e-01 1.142391376729539193e-01 6.749574566215232885e-01 3.630903280017958590e-01
2.000000000000000000e+00 6.425041063150848109e-01 1.142391376729539193e-01 6.749574566215232885e-01 3.630903280017958590e-01
2.100000000000000089e+00 6.407852609051479797e-01 1.152046229361657764e-01 6.831070858103348575e-01 3.542547614127703470e-01
2.200000000000000178e+00 6.407852609051479797e-01 1.152046229361657764e-01 6.831070858103348575e-01 3.542547614127703470e-01
2.300000000000000266e+00 6.381047800474829446e-01 1.161014734278639493e-01 6.912766982574256591e-01 3.462711227421262916e-01
2.400000000000000355e+00 6.381047800474829446e-01 1.161014734278639493e-01 6.912766982574256591e-01 3.462711227421262916e-01
2.500000000000000000e+00 6.345186964898673621e-01 1.169348302785429006e-01 6.994407535086915040e-01 3.391075322368141687e-01
2.600000000000000089e+00 6.345186964898673621e-01 1.169348302785429006e-01 6.994407535086915040e-01 3.391075322368141687e-01
2.700000000000000178e+00 6.300871721473316756e-01 1.177099859233770029e-01 7.075740095615460357e-01 3.327279557581763192e-01
2.800000000000000266e+00 6.300871721473316756e-01 1.177099859233770029e-01 7.075740095615460357e-01 3.327279557581763192e-01
2.900000000000000355e+00 6.248732225061961465e-01 1.184322952387851097e-01 7.156516983329818116e-01 3.270933651057955638e-01
3.000000000000000000e+00 6.248732225061961465e-01 1.184322952387851097e-01 7.156516983329818116e-01 3.270933651057955638e-01
3.100000000000000089e+00 6.189415446079619132e-01 1.191070986952411231e-01 7.236496871982880386e-01 3.221627957978565604e-01
3.200000000000000178e+00 6.189415446079619132e-01 1.191070986952411231e-01 7.236496871982880386e-01 3.221627957978565604e-01
3.300000000000000266e+00 6.123574707528395278e-01 1.197396579590758042e-01 7.315446254342169441e-01 3.178942811944394653e-01
3.400000000000000355e+00 6.123574707528395278e-01 1.197396579590758042e-01 7.315446254342169441e-01 3.178942811944394653e-01
3.500000000000000000e+00 6.051860598421678894e-01 1.203351037443519816e-01 7.393140749218061192e-01 3.142456521203275122e-01
3.600000000000000089e+00 6.051860598421678894e-01 1.203351037443519816e-01 7.393140749218061192e-01 3.142456521203275122e-01
3.700000000000000178e+00 5.974913295819004322e-01 1.208983952329866080e-01 7.469366248911282202e-01 3.111751998483943127e-01
3.800000000000000266e+00 5.974913295819004322e-01 1.208983952329866080e-01 7.469366248911282202e-01 3.111751998483943127e-01
3.900000000000000355e+00 5.893356259024719046e-01 1.214342900455885749e-01 7.543919908221828896e-01 3.086422071397956213e-01
4.000000000000000000e+00 5.893356259024719046e-01 1.214342900455885749e-01 7.543919908221828896e-01 3.086422071397956213e-01
4.100000000000000533e+00 5.807791209649838526e-01 1.219473235431721148e-01 7.616610978607184501e-01 3.066073569570800239e-01
4.200000000000000178e+00 5.807791209649838526e-01 1.219473235431721148e-01 7.616610978607184501e-01 3.066073569570800239e-01
