# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.711062857142857552e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.711062857142857552e-01
3.000000000000000444e-01 6.677367517488989046e-01 1.037363302343597138e-01 5.837495449560624605e-01 4.421023300167413184e-01
4.000000000000000222e-01 6.677367517488989046e-01 1.037363302343597138e-01 5.837495449560624605e-01 4.421023300167413184e-01
5.000000000000000000e-01 7.017386947974447731e-01 1.053453831374791122e-01 5.758333919659597289e-01 4.132425826999441831e-01
6.000000000000000888e-01 7.017386947974447731e-01 1.053453831374791122e-01 5.758333919659597289e-01 4.132425826999441831e-01
7.000000000000000666e-01 7.354973768637734777e-01 1.067647582828248620e-01 5.680523950649516429e-01 3.847920256641675363e-01
8.000000000000000444e-01 7.354973768637734777e-01 1.067647582828248620e-01 5.680523950649516429e-01 3.847920256641675363e-01
9.000000000000000222e-01 7.687553231205719317e-01 1.079851831151085739e-01 5.604035016207140618e-01 3.570178117602802459e-01
1.000000000000000000e+00 7.687553231205719317e-01 1.079851831151085739e-01 5.604035016207140618e-01 3.570178117602802459e-01
1.100000000000000089e+00 8.012592546406384075e-01 1.090006285835857375e-01 5.528837488882715201e-01 3.301796452765987655e-01
1.200000000000000178e+00 8.012592546406384075e-01 1.090006285835857375e-01 5.528837488882715201e-01 3.301796452765987655e-01
1.300000000000000044e+00 8.327700928771105682e-01 1.098085799927271122e-01 5.454902607167019246e-01 3.045195068776500591e-01
1.400000000000000133e+00 8.327700928771105682e-01 1.098085799927271122e-01 5.454902607167019246e-01 3.045195068776500591e-01
1.500000000000000000e+00 8.630729728440013071e-01 1.104101447987098222e-01 5.382202443998606034e-01 2.802515328869266686e-01
1.600000000000000089e+00 8.630729728440013071e-01 1.104101447987098222e-01 5.382202443998606034e-01 2.802515328869266686e-01
