	North water	South water
Abundance [cell/cm3]	3.3095e+08	5.0371e+08
Biovolume [um3/cell]	62.6814	58.1316
Qc [fgC/cell]	9.1296e+03	8.5579e+03
Biomass [mmolC/m3]	251556.9181	358897.4804
