# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.861062857142857685e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.861062857142857685e-01
3.000000000000000444e-01 6.686008294069443192e-01 1.038411525408590302e-01 5.837495449560624605e-01 4.711334300521966556e-01
4.000000000000000222e-01 6.686008294069443192e-01 1.038411525408590302e-01 5.837495449560624605e-01 4.711334300521966556e-01
5.000000000000000000e-01 7.044648977282542690e-01 1.056611090069014408e-01 5.758333919659597289e-01 4.552006538997125373e-01
6.000000000000000888e-01 7.044648977282542690e-01 1.056611090069014408e-01 5.758333919659597289e-01 4.552006538997125373e-01
7.000000000000000666e-01 7.412108524448378644e-01 1.073965374628591957e-01 5.680523950649516429e-01 4.384467709030691052e-01
8.000000000000000444e-01 7.412108524448378644e-01 1.073965374628591957e-01 5.680523950649516429e-01 4.384467709030691052e-01
9.000000000000000222e-01 7.786946176800042529e-01 1.090348504749018427e-01 5.604035016207140618e-01 4.210288498410549307e-01
1.000000000000000000e+00 7.786946176800042529e-01 1.090348504749018427e-01 5.604035016207140618e-01 4.210288498410549307e-01
1.100000000000000089e+00 8.167553882107726482e-01 1.105642411353685989e-01 5.528837488882715201e-01 4.031198991546818267e-01
1.200000000000000178e+00 8.167553882107726482e-01 1.105642411353685989e-01 5.528837488882715201e-01 4.031198991546818267e-01
1.300000000000000044e+00 8.552186529334597775e-01 1.119740136066805086e-01 5.454902607167019246e-01 3.849055132073475605e-01
1.400000000000000133e+00 8.552186529334597775e-01 1.119740136066805086e-01 5.454902607167019246e-01 3.849055132073475605e-01
1.500000000000000000e+00 8.939002494739171079e-01 1.132549052505670423e-01 5.382202443998606034e-01 3.665794958051537544e-01
1.600000000000000089e+00 8.939002494739171079e-01 1.132549052505670423e-01 5.382202443998606034e-01 3.665794958051537544e-01
