# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 5.161062857142857396e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 5.161062857142857396e-01
3.000000000000000444e-01 6.702776908329187711e-01 1.040481140701228768e-01 5.837495449560624605e-01 5.292496070969583410e-01
4.000000000000000222e-01 6.702776908329187711e-01 1.040481140701228768e-01 5.837495449560624605e-01 5.292496070969583410e-01
5.000000000000000000e-01 7.096725346105118293e-01 1.062811116786976512e-01 5.758333919659597289e-01 5.393730143456587633e-01
6.000000000000000888e-01 7.096725346105118293e-01 1.062811116786976512e-01 5.758333919659597289e-01 5.393730143456587633e-01
7.000000000000000666e-01 7.519892301930616307e-01 1.086334749981412579e-01 5.680523950649516429e-01 5.464314556195631889e-01
8.000000000000000444e-01 7.519892301930616307e-01 1.086334749981412579e-01 5.680523950649516429e-01 5.464314556195631889e-01
9.000000000000000222e-01 7.972722914957189877e-01 1.110885728121955990e-01 5.604035016207140618e-01 5.503974536880464896e-01
1.000000000000000000e+00 7.972722914957189877e-01 1.110885728121955990e-01 5.604035016207140618e-01 5.503974536880464896e-01
1.100000000000000089e+00 8.455442704290068168e-01 1.136281781474886010e-01 5.528837488882715201e-01 5.512670799243278852e-01
1.200000000000000178e+00 8.455442704290068168e-01 1.136281781474886010e-01 5.528837488882715201e-01 5.512670799243278852e-01
1.300000000000000044e+00 8.967996994741433969e-01 1.162323420657257605e-01 5.454902607167019246e-01 5.490661382076190700e-01
1.400000000000000133e+00 8.967996994741433969e-01 1.162323420657257605e-01 5.454902607167019246e-01 5.490661382076190700e-01
1.500000000000000000e+00 9.509989179575750740e-01 1.188793535905389859e-01 5.382202443998606034e-01 5.438563789815243910e-01
1.600000000000000089e+00 9.509989179575750740e-01 1.188793535905389859e-01 5.382202443998606034e-01 5.438563789815243910e-01
1.700000000000000178e+00 1.008062051930294301e+00 1.215458035871124082e-01 5.310709876638227689e-01 5.357414557454315274e-01
1.800000000000000044e+00 1.008062051930294301e+00 1.215458035871124082e-01 5.310709876638227689e-01 5.357414557454315274e-01
1.900000000000000133e+00 1.067863538341917495e+00 1.242067708314069790e-01 5.240398557841614569e-01 5.248722150525051422e-01
2.000000000000000000e+00 1.067863538341917495e+00 1.242067708314069790e-01 5.240398557841614569e-01 5.248722150525051422e-01
2.100000000000000089e+00 1.130227712327202649e+00 1.268361464520687265e-01 5.171242888265731308e-01 5.114507850139108358e-01
2.200000000000000178e+00 1.130227712327202649e+00 1.268361464520687265e-01 5.171242888265731308e-01 5.114507850139108358e-01
2.300000000000000266e+00 1.194926096153584583e+00 1.294071075527042369e-01 5.103217990047316244e-01 4.957328129533731254e-01
2.400000000000000355e+00 1.194926096153584583e+00 1.294071075527042369e-01 5.103217990047316244e-01 4.957328129533731254e-01
2.500000000000000000e+00 1.261677113709838149e+00 1.318927413573955376e-01 5.036299681495938207e-01 4.780271269894423303e-01
2.600000000000000089e+00 1.261677113709838149e+00 1.318927413573955376e-01 5.036299681495938207e-01 4.780271269894423303e-01
2.700000000000000178e+00 1.330148968517810726e+00 1.342668072602225815e-01 4.970464452847058734e-01 4.586920961830915355e-01
2.800000000000000266e+00 1.330148968517810726e+00 1.342668072602225815e-01 4.970464452847058734e-01 4.586920961830915355e-01
2.900000000000000355e+00 1.399966321493455013e+00 1.365046060365919522e-01 4.905689443023608654e-01 4.381280837669319084e-01
3.000000000000000000e+00 1.399966321493455013e+00 1.365046060365919522e-01 4.905689443023608654e-01 4.381280837669319084e-01
3.100000000000000089e+00 1.470721143704114997e+00 1.385839047015005321e-01 4.841952417357422433e-01 4.167656697242703712e-01
3.200000000000000178e+00 1.470721143704114997e+00 1.385839047015005321e-01 4.841952417357422433e-01 4.167656697242703712e-01
3.300000000000000266e+00 1.541987673799707581e+00 1.404858450918703983e-01 4.779231746224557043e-01 3.950497849635151160e-01
3.400000000000000355e+00 1.541987673799707581e+00 1.404858450918703983e-01 4.779231746224557043e-01 3.950497849635151160e-01
3.500000000000000000e+00 1.613340795319046395e+00 1.421957487093201133e-01 4.717506384550997911e-01 3.734205293505939438e-01
3.600000000000000089e+00 1.613340795319046395e+00 1.421957487093201133e-01 4.717506384550997911e-01 3.734205293505939438e-01
3.700000000000000178e+00 1.684376444729749567e+00 1.437037250413425171e-01 4.656755852147637653e-01 3.522921555232335078e-01
3.800000000000000266e+00 1.684376444729749567e+00 1.437037250413425171e-01 4.656755852147637653e-01 3.522921555232335078e-01
3.900000000000000355e+00 1.754732017100959052e+00 1.450050002769001645e-01 4.596960214835589253e-01 3.320323346721108515e-01
4.000000000000000000e+00 1.754732017100959052e+00 1.450050002769001645e-01 4.596960214835589253e-01 3.320323346721108515e-01
4.100000000000000533e+00 1.824104351292081372e+00 1.460999102754592383e-01 4.538100066324997073e-01 3.129441785468801140e-01
4.200000000000000178e+00 1.824104351292081372e+00 1.460999102754592383e-01 4.538100066324997073e-01 3.129441785468801140e-01
4.299999999999999822e+00 1.892262935867648377e+00 1.469935435997670181e-01 4.480156510812440263e-01 2.952533906669029817e-01
4.400000000000000355e+00 1.892262935867648377e+00 1.469935435997670181e-01 4.480156510812440263e-01 2.952533906669029817e-01
4.500000000000000000e+00 1.959056567240963664e+00 1.476950699668174993e-01 4.423111146263876692e-01 2.791022798797809790e-01
4.600000000000000533e+00 1.959056567240963664e+00 1.476950699668174993e-01 4.423111146263876692e-01 2.791022798797809790e-01
4.700000000000000178e+00 2.024412731644550156e+00 1.482168354086780271e-01 4.366946048351793563e-01 2.645512833782130424e-01
