init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;304,6;414,3;2772;2523;362,2;1377;975,1;228,6;2622;4495;5749;4077;311,9;1407;623,5;1005;36,88;7216;115,3;550,8;962,4;300,9;218,6;255,4;1337;629,4;1446;1,051E+04;1,174E+04;174,9;1,187E+04;963,1;2130;1632;1,782E+04;448,5;1,028E+04;2044;122,3;144,4;1370;522,9;2863;1080;247,1;330,4;1089;38,03;214,3;452;248,5;601;398,8;254,3;422,4;5030;993,9;298,1;831,4;1044;2551;334,5;66,08;3395;2097;889,6;53,53;421,3;8116;133,4;515,7;469,1;590,5;168,8;88,5;1229;70,1;627,2;469,4;5084;786,8;991,1;878,3;125,9;478,7;870,4;412,3;279,3;906,6;143,6;683;1800;702,4;537,6;878,3;397,4;288,5;694,7;39,76;235,3;162,3
NA;1496;226,5;7994;9179;2814;121,1;540,2;366,7;45,84;3108;365,9;7104;3740;78,06;220,5;3085;30,38;1256;296,9;437,5;36,32;1232;113,2;481,1;9454;26,18;2762;1929;32,22;2921;335,9;35,07;627,1;112,4;25,86;9194;112,2;1,842E+04;172,1;147,4;29,5;472,1;169,6;23,7;2823;424;2456;1827;207,4;681,8;629,1;880,7;1174;428,7;201,9;305,6;627,2;1474;68,28;2855;244,1;513,3;47,02;70,84;29,1;147,5;752,3;34,62;127;93,11;390,6;3671;156,6;111,1;47,29;98,93;200,4;1146;42,91;593,7;449,2;29,3;119,1;214,8;30,13;170,6;414,8;630,5;517,7;135,3;2602;3369;1454;452,8;1657;376,6;1498;95,93;276,6;967,2;945,1
NA;4668;1095;208;565,4;258,6;2456;56,18;2710;508,8;694,9;4497;2085;161,5;29,72;430,2;304,9;26,03;6838;506,2;1406;1564;55,76;4259;482,2;247,9;125,5;601,7;1115;1984;226,2;407,2;3883;1,409E+04;80,8;196,8;145,9;4567;121,5;573,6;999,8;7411;41,77;113,1;24,47;498,8;135,7;258,1;567,6;764,6;1,215E+04;39,3;5325;79,88;6037;631,3;1258;1616;300,8;719,8;257,6;797,4;289,7;721,5;546;322,6;496,6;4303;353,6;1,214E+04;1,787E+04;1287;34,03;464;72,78;133;165,3;248,3;270,4;983,8;151,7;2903;510,6;591,6;472,5;226,3;182;22,43;256;4066;244,6;42,28;275,8;103,3;172,1;349,6;127,4;355,8;453,5;533,2;361,8;202,7
NA;613,5;957;398,6;304,9;140,4;141,9;28,15;575,5;1148;341,6;3484;31,51;56,47;4968;614,5;4085;527,7;136,4;127,6;96,15;82,73;3938;2330;472,6;380,3;88,58;249,7;59,79;40,95;266;396,7;993,9;35,15;321,9;1146;25,93;2755;3885;418,7;521,9;1795;121;2317;234,5;125,5;1032;431,6;6253;626,8;252,2;798,1;22,51;113,4;642,6;143;437,3;1086;2,271E+04;6021;959,6;3060;32,51;474,4;1070;112,5;1071;103,8;49,76;484,6;231,7;1510;30,06;26,76;178,9;46,39;363,1;674,5;2788;246,4;1088;5790;735,1;969,4;36,76;1142;2396;140,8;265,6;1697;265,4;70,4;4684;612,7;372,6;94,02;2078;530,6;35,63;758;186,9;48,28
NA;397,5;7806;1143;696,9;47,4;550;3955;1285;4194;998,4;482,6;673,8;192,7;2112;845,6;8484;73,95;937,8;954,6;585,3;1138;788,4;1681;260,2;433,7;182,7;1,096E+04;207,4;2197;1251;108,3;147,4;224,5;29,91;64,93;501,9;86,66;293,6;203,2;542,3;445,3;5117;459,2;437,8;625;137,4;541,8;26,63;180;258,1;438;32,35;38,24;3465;703,4;226,8;785;240,9;781,5;787,2;221,7;502,3;221,9;2884;207,8;122,5;1349;4698;7305;512,2;609,3;262,1;142,6;7780;508,7;808,9;58,33;3521;196,6;57;1094;221,8;186;30,3;2964;4662;1009;316;5032;510,2;98,69;1785;172,8;561;4485;42,33;429,1;2245;532,4;54,69;1577
NA;2036;1336;247,5;2113;536,3;1045;3708;322,5;46,54;790,7;348,9;1288;369,4;1,85E+04;1168;592,9;87,41;79,65;29,8;1192;2224;153,9;2714;198,9;6544;1730;384,4;591,3;52,67;601,5;3133;28,93;171,3;7159;130,9;3675;123,9;1620;7439;33,36;41,57;39,94;40,03;1394;563,9;159,4;61,51;4152;623,6;218,6;1151;590,9;679;282,9;9698;490,2;751,3;395,3;110,4;299;619;1137;197,8;99,16;367,6;3002;278,8;905,8;287,3;30,42;4099;254,8;49,03;273,3;30,79;179,8;60,95;681,8;1003;334,5;1498;815,9;259,2;1912;265,5;891,5;92,02;695,3;21,76;2057;42,1;1,727E+04;1026;1695;3061;362,9;386,2;1512;2241;174,2;996,7
NA;1685;848,8;5646;43,93;250,5;2197;34,17;2311;1131;447,6;208;753,2;3738;7974;1076;225,7;189,6;1382;196,1;3079;430,4;488,7;27,41;1366;546,3;116;89,8;362,9;701,6;730,1;2117;121,1;29,29;229,1;39,71;269,3;3480;68,06;27,11;3773;360,6;1372;5955;162,6;831,9;32,88;1032;245,1;1430;275,5;28,38;259;1859;69,36;385,7;889,9;55,79;1050;1611;2204;698,9;35,14;114,5;7305;1420;2170;1317;9985;36,06;83,53;295,2;338,4;255,6;615;3458;980;819,5;3517;357,3;240,5;234,4;152,7;723,5;612,9;2065;2226;358,7;779;2668;4909;170,7;949,1;885,8;313,6;241,4;936,4;3207;2461;426,6;1099;9227
NA;866;272,8;1304;85,02;3180;1559;35,5;166,9;80,67;4518;105,1;8393;505,7;4788;188,5;674,3;27,92;2147;121,7;1777;92,34;2762;799,6;762,8;205,7;337,3;755,9;3130;79,8;334;31,97;642,6;40,66;1788;61,58;1,294E+04;168,7;71,14;29,13;496,7;29,97;2,109E+04;51,15;597;1009;1401;8877;1252;2548;177,2;1469;254,9;328,9;501,5;124,8;651;27,04;386,8;2677;6782;1679;977,2;625,3;101,1;271;746,2;6202;845;257,2;1292;247;269,9;45,34;375,4;120,7;2997;968,1;119,7;3168;1,515E+04;140,5;164;280,6;1565;593,1;1341;68,62;960,3;269,1;3458;622,2;263,5;290,1;449,1;316,7;137,8;4933;620,6;1287;81,12;5170
NA;27,49;228,4;307,3;494,3;5151;130,7;5404;561,5;1,722E+04;740;2515;1214;499,1;126,2;751,1;282,9;53,65;252,3;617,1;93,88;236,6;381,1;304,2;248,3;939,3;25,6;1,372E+04;41,41;1987;569,5;182,6;1,287E+04;5708;49,48;5457;1,137E+04;1585;34,78;43,25;357,1;32,89;1320;225,3;353,4;1603;189,1;547;64,31;2203;199,2;1820;1005;1,102E+04;671,6;845,9;486,7;7545;6056;1112;1034;60,39;425;66,41;1187;218,1;462,4;1156;186,2;1076;1391;122,4;46,03;831,3;1012;2892;52,73;105,7;1061;70,24;4243;2922;771,1;827;2550;796,8;24,42;374;1776;268,8;2296;239,8;58,33;22,24;723,3;232,2;1,094E+04;598,7;436;351,6;107,8;57,04
NA;75,97;81,72;265,5;779,3;1561;4960;33,95;66,48;328,8;42,5;115,9;491,1;585,6;3351;214,8;164,8;129,3;387,5;354,7;1612;2268;2352;149,7;232,1;156,1;42,29;429,6;83,8;2370;284,2;1312;305,1;248,5;442,8;354;1595;34,89;47,77;337,4;882,2;112,4;2956;159,5;709,1;1521;3729;857;1830;124,6;5350;311,3;2601;190,3;112,5;1740;3617;1592;289;8076;2110;27,95;245,6;178,7;652,2;1077;29,25;74,72;28,25;32,92;394,8;565,7;358,9;220,5;3256;3354;292,3;44,96;1803;385,1;917,9;3522;267,9;880,4;338,2;95,14;204,8;47,79;50,44;4028;1459;421,2;298,5;1248;1036;57,68;438,8;360,6;2093;1694;213,6;283,7
NA;566,4;280,5;1043;34,79;458,5;559,3;216,3;1390;305,3;249;45,33;3792;157,8;149,9;86,89;1730;6646;2330;361,1;6208;203,3;107;1037;1436;392,9;831,8;460,6;735,5;502;6844;497,5;280,8;45,07;5594;629,1;22,84;43,32;290,7;2206;19,42;2478;38,58;210,3;332;1721;1877;4013;2749;362,6;326,2;22,73;124,2;1359;52,4;1547;7788;1831;1113;3186;1208;30;9635;3227;2189;1847;1469;2008;196,8;223,1;1,746E+04;406,2;1875;698,8;609,3;81,07;452,5;2360;47,52;6310;113,5;146,6;262,2;36,66;25,98;317,3;539,5;419,4;659;357,3;2909;41,69;2071;731,3;1367;1328;920,6;2056;138,1;1018;390,6;349,7
NA;2466;1590;5552;361;277;502,5;1024;346,3;1775;2091;6415;1717;275,2;50,38;227,7;399,6;205,2;818,3;196,8;1670;238,1;2529;158,3;2492;249;52,02;397,9;678,6;825,7;181;149,3;2133;164,9;36,77;289,9;357,6;59,52;44,43;2217;1764;2178;100,8;599,1;104,6;1768;403,2;94,24;5068;345,4;1303;7996;60,96;50,16;3098;954,9;828,9;2561;6756;149,8;208,7;248,6;276,9;243,3;158,1;5421;41,93;299,5;362,4;67,33;144,6;241,9;670,2;1,12E+04;142,9;1116;32,58;374,1;603,9;447,5;396,3;4139;608,6;78,19;380,7;342,9;1384;2118;27,04;671;953,4;1151;624,9;1387;6065;201,2;7407;171,5;5569;424,3;5197;97,67
NA;5826;349,9;78,79;386,7;25,04;723,8;1413;170,7;5312;1403;299,8;617,4;25,31;768,1;2675;503,3;982,9;4794;30,78;78,87;30,9;1,315E+04;2930;377,8;3377;707,2;458,3;5405;830,9;122,5;661,5;26,51;986,1;36,73;1782;1755;22,13;85,5;33,94;122;1296;305,8;1555;1396;1077;488,1;489,4;2174;399,5;373,2;453,7;28,75;119,7;266,6;173,7;785,3;46,42;5583;478,8;2050;1,493E+04;39,43;2052;2301;357,6;1281;3125;556,6;1,379E+04;448,1;3469;138,6;173,2;43,34;351,2;255,2;194,9;89,91;246,3;668,3;146,4;598,7;471,6;2212;472;30,83;2165;64,52;8641;250,2;190,2;66,16;1590;421,1;60,34;315,4;7978;47,3;1045;101,1;76,56
NA;430,8;294,4;557,1;170,5;1156;6421;32,15;894,9;106,2;5486;1868;3726;59,81;889,9;34,12;425,3;57,97;651,5;2856;780,7;85,72;2232;594,1;869,9;1345;99,04;437,8;280,8;4845;281,8;340;4484;389,1;72,9;37,45;940,3;31,39;218,8;2250;76,74;4052;116,5;317,7;650,4;2096;872,1;1235;60,02;320,8;2013;88,12;174,5;1345;572;213,4;595,6;70,18;971,3;4881;80,15;9504;272,8;118,4;98,64;221;82,72;32,61;1,421E+04;197,6;341,9;33,47;116,2;81,76;69,9;1204;1471;4420;67,94;6200;3866;210,2;250,4;112,2;1226;1,449E+04;441,6;2491;1128;2140;184;2310;34,44;667,1;4132;28,51;312,3;6639;671,2;312;38,97;677,8
NA;636,7;2352;610;3147;1699;4749;898,8;170,1;1866;1078;1494;1166;2675;1149;1,407E+04;229,3;1382;42,39;861,3;854,4;291,4;95,51;651,1;1080;673,6;2885;589,4;550,6;500,3;3599;748;205,5;50,77;190,8;22,32;435,7;340,9;899;31,33;598,3;549,5;139,4;24,49;1135;5429;483,5;1303;72,71;217,7;120,3;31,09;109,2;107;718,9;968,8;6450;477,6;1338;314,5;167;105,2;71,82;242,4;1311;263,9;4786;373,4;4570;2199;320,9;3563;70,21;70,76;518,2;780,3;274,2;64,98;24,83;1161;538,5;378,7;682,9;2491;28,55;405,7;482,2;2979;223,4;820,7;330,4;301,7;658,8;347,6;214,3;6420;2259;379;324,2;329,4;326,6;281,8
NA;444,1;243;59,52;132,1;472,1;57,32;1389;50,33;96,1;6925;1460;1703;2258;6137;1857;172,1;38,12;1040;1229;928,2;398;151;172,3;1123;2618;47,16;31,25;3033;2375;707,5;237,2;2006;35,82;353,6;881;491,3;6095;580;3317;59,53;394,3;1571;2197;1,11E+04;6936;588,3;4700;38,03;126,1;569,5;845;423,4;337,7;437,2;537,1;3324;5083;375,1;828,6;148,7;506,3;2227;29,82;356,3;902,3;4466;3252;503,6;65,33;40,57;398,1;100,9;964,1;637,8;94,14;1,185E+04;97,34;2179;56,59;1684;480,9;341,7;1243;612;217,9;62,79;601,9;1238;1199;2296;73,42;442;114,9;147,8;301,6;36,89;311,9;433,8;3201;125;4005
NA;2891;4033;83,25;686,9;728,1;264;42,5;287;828,3;537,5;2279;32,57;2202;174,5;28,73;577,8;50,85;288,7;360,3;3314;247,3;1731;2116;368,3;1381;533,6;28,59;29,93;1186;560,2;558,8;2488;137,8;906,8;148,6;2863;109,2;25,2;60,74;36,73;6488;70,64;83,86;183,8;1,336E+04;3522;227,5;1958;1920;508,8;1563;3828;209,6;979,4;671,8;1228;411,3;1899;41,08;427,3;960,9;526,3;35,33;789,2;7501;415,4;232,8;813,9;4644;579,7;2205;3595;2990;327,5;1,076E+04;233,3;819,7;333,7;1320;73,13;282,6;247,3;3902;352,9;6736;151,9;204,2;2912;187,6;28,27;317,1;97,19;601,7;277,3;1486;155,5;131,2;346,9;36,77;1679;4889
NA;59,64;260,5;307,4;8935;64,5;142,7;44,26;1999;402,1;204,2;41,01;1080;63,45;368,5;985,8;193,2;486,3;894,7;2959;6076;65,4;701,1;1153;175;625,6;78,06;441;37,98;1228;77,16;71,27;241,3;124,7;386,1;69,32;1722;468,4;755,8;215,1;1141;3308;145,6;34,37;168,8;578;242,8;58,15;385,3;157,8;289,1;164,5;54,03;454,3;950;507,4;213,5;103;48,44;25,98;1652;273,6;2359;214,3;226,1;1064;6058;305,3;35,07;50,24;364,3;1139;88,04;603,7;4558;435,2;1,91E+04;1,042E+04;176,6;172,2;204,4;444,7;292,7;153,2;117;81,89;54,27;466,2;1761;172,5;5165;3282;1501;274,5;456,3;251,1;266,4;265,8;238,8;1592;409,7;83,97
NA;569,5;1630;193,5;450,5;631,2;1934;28,36;894,4;5463;226;4445;33,67;898,6;34,43;701,6;2112;3931;63,37;3564;477,8;50,96;55,04;2179;30,19;613,5;66,06;122;2302;32,38;146,5;5790;218;785,6;28,24;2375;25,13;1215;29,99;369,7;29,16;606,3;1,118E+04;2682;55;4659;38,66;23;80,67;31,14;68,12;57,3;1343;446,4;33,97;477,8;305,9;356,5;1853;21,9;255;79,03;324,6;511,6;1054;113,1;2834;63,97;336,8;38,63;186;1,382E+04;9338;354,6;167,9;157,2;143,3;671,3;361,5;8106;97,94;251,6;5557;161,5;591,6;1530;247;993,5;4707;698;427,7;1438;1969;350,1;1915;433,1;2,022E+04;358,1;503,3;322,3;63,85;1126
NA;376,9;6075;532,8;31,18;215,3;303,3;45,96;267,5;2571;278,3;29,02;1283;2138;389,5;445;953,1;8136;2119;227,1;61,51;7450;692,9;181,7;337,5;328,2;36,71;1203;64,79;308,8;129,7;70,38;52,4;32,5;660,5;40,56;65,2;55,11;93,18;932,5;421,2;1543;870,1;175,6;720,1;452,5;195;151,5;1156;33,01;694,2;596,1;263,9;46,59;389,9;2567;457,5;1949;891,3;3998;3624;717,7;35,02;40,98;367,6;196,7;217,7;4328;27,27;2694;4423;1487;410,6;8385;3951;1454;1076;595,9;2415;1,877E+04;45,93;583,3;177,5;2247;943,1;36,54;393,4;1430;115,3;47,03;552;209,3;1358;504,4;1296;136,6;257,3;57,41;423,3;376,4;2743;229
NA;133,3;1261;3116;1557;5000;1340;81,36;596,5;2825;8967;1136;351,2;4077;38,58;726,8;133,3;156,5;2540;85,55;62,97;3803;1122;39,76;103,7;1407;72;1018;731,8;244;433,5;140,6;831,2;1332;652,2;856,4;52;2925;1737;699,1;276,6;209;657,2;362,4;618;577,2;113,9;3218;8342;125,7;8047;2000;4128;1519;1,842E+04;873,7;1497;591,3;503,5;1209;5017;4179;42,28;614,8;287,4;119,7;411,6;1581;295,1;412,1;981,6;348,1;452,5;910,5;186;6597;816,3;523,7;72,2;425,8;590,1;388,8;192,9;22,75;60,48;2122;3740;22,53;233,7;1914;1660;501,6;20;209,9;463,3;268,3;314,6;41,5;1280;1116;169,9;106,1
NA;4549;9069;3678;62,73;240,9;60,25;40,59;105,2;2048;310,8;3806;287,9;1294;179;4027;1515;1587;1,144E+04;615,8;1393;502,5;35,02;1911;352;522,3;4796;361,7;2129;559,4;35,47;1432;736,1;857,7;151,8;1289;745,9;376,2;77,66;3927;116,3;149,9;45,89;44,4;388,9;280,4;595;794,3;467,9;922,1;2755;3864;548,6;29,24;181,8;332,6;698,1;2020;244,6;526,7;1761;221;2919;1072;25,15;187,7;228,7;411,6;820,8;3115;4192;2021;3886;1458;463;73,25;1317;138,9;1143;373,6;279,9;363,9;2500;48,62;215,4;1456;62,9;2057;910,5;1911;1776;814,8;304,3;186,4;3857;28,98;4829;33,45;421;101,6;1629;194,6
