init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;34620;17330;18360;22120;33590;45920;26040;44720;21040;21550;25240;26210;33930;39980;48700;43450;26740;26060;18870;8909;38060;51990;67550;34810;65240;31630;10560;40740;34300;52570;28060;52250;23130;40440;30520;31930;41840;25770;26040;21220;28950;19090;31070;15590;25270;17040;17100;18080;15630;10640;40080;13280;13810;17770;17860;14790;40500;17440;26800;25290;38800;26330;24960;36010;39750;42540;24810;32690;2,988E+04;24730;44730;18290;37130;26550;31530;23450;22830;18250;33430;40900;19060;35190;31250;35940;22400;73930;26250;6,675E+04;60980;18350;13670;62020;19360;21860;21460;17140;14440;38040;17900;25590;17370
NA;34740;26930;51600;26910;26210;26390;26990;17490;32820;16520;20950;27420;22060;21320;28210;29580;9643;42760;35690;8130;71970;50960;67640;37700;67540;56160;30090;63990;47930;54300;50880;65830;21690;60760;32850;10260;18860;21580;18400;31000;17910;22600;69810;39340;25810;15340;55280;86650;37150;23660;25180;54370;20150;16290;30370;19190;20220;43320;43050;36180;36260;36110;32960;24480;22400;30100;20510;30480;2,432E+04;30270;26590;31620;43530;23900;45020;19650;11230;31610;26330;30880;25750;21750;34400;29360;27870;21210;34430;2,347E+04;20170;13550;35970;43940;47210;12560;26170;16710;15810;28710;15620;17190;24970
NA;18210;16010;26300;15610;52070;27620;43470;40600;19420;28110;35930;17960;27140;25410;19460;38620;9320;27360;43790;28080;58620;61650;54970;46020;34210;56790;45990;65720;57330;69500;57550;39250;49050;11330;42920;22200;27890;22650;35830;23330;25980;33520;30470;23150;29810;54900;17140;19300;17660;16910;24280;63320;22350;14170;28020;31270;23860;48890;28120;23780;24890;29790;21810;40830;19240;33840;27020;23720;3,001E+04;21340;56390;31490;22120;26490;21140;22010;44660;29870;19980;20350;63450;24970;26970;27590;32660;21440;20350;4,438E+04;36300;20870;27570;40770;18600;20910;38950;43410;50730;17320;33100;32460;25070
NA;36060;15390;18090;31000;19370;45230;23420;17700;19150;31260;21830;33300;27770;16510;19330;39690;28940;8313;11390;30870;58190;71870;9095;40520;24680;61360;26450;62110;27270;51590;61020;64840;52050;40850;23900;12810;32050;27160;17380;20990;14810;32120;18130;22340;56730;15860;42980;12870;21220;11630;17950;25010;18650;18220;27350;26090;35440;28900;19960;28260;9450;21970;33330;17350;18430;30610;26520;30170;4,375E+04;26810;41120;20570;29200;19030;21660;16610;22580;41510;10130;32750;37510;36890;23630;13990;34220;43240;59140;5,449E+04;19310;20190;57120;12900;14100;17220;17630;20280;39010;20370;22340;20310;25680
NA;25360;52290;52730;17140;15830;25400;28110;8702;13310;28950;27120;37080;25560;26800;20490;51690;9438;24260;50600;23250;65410;33770;46750;27180;64360;61840;53080;53760;9679;41800;42550;33420;25580;33630;37660;40950;30240;30670;27800;36000;43990;37660;22640;27500;63910;25200;12610;14960;17000;31600;23700;53900;20700;14060;13130;65400;21020;31030;27240;39880;40180;37650;21100;32090;15090;19280;37980;21940;2,57E+04;32860;28670;24620;20290;40050;11840;22540;12560;29860;18040;18830;30460;18990;31620;20940;22680;32210;17810;5,281E+04;17720;36140;32550;43130;69810;23000;19890;23740;12600;11620;14480;16580;27610
NA;32060;37200;30080;45820;13000;17080;17630;12260;15840;33110;16640;23650;21520;41890;31440;14780;48110;53980;51010;23350;61290;51250;55520;36940;47540;38430;35430;59940;59280;19140;38550;38920;26090;27190;22540;71880;20210;26710;30450;15070;14060;19090;44360;20540;17840;22020;45920;18060;15480;12930;25460;16860;31100;24780;25430;24560;19800;43560;20000;23290;9637;25250;38640;16370;35740;39470;31500;44260;3,362E+04;27020;15360;17530;26990;19850;31950;23630;19060;28210;19240;26080;21700;27860;19150;16430;29240;45320;15790;1,805E+04;66150;52950;34480;39710;15130;44980;21530;20490;21590;24830;19490;32080;19470
NA;27200;31000;19040;20700;35120;14640;42850;13950;18850;13080;43150;14570;27500;39790;20170;27610;9948;30190;53490;19420;16870;40130;68060;57590;28270;60500;66280;30160;9664;18660;29970;14650;29990;35010;85920;29350;25460;73630;13420;22910;17690;24780;23130;46660;17960;26700;11260;18040;19020;17600;9573;45630;26730;13150;23560;20310;39700;51820;18160;32870;18050;23070;22390;27940;30520;28180;26960;14460;4,103E+04;37000;37940;32320;30840;30930;14660;33440;27790;20720;27930;36690;25430;27490;26870;17260;16130;56440;61050;2,175E+04;42890;29040;31200;34190;12170;13040;39250;25400;16380;25200;15050;13890;81240
NA;52150;51520;39640;36690;45500;49970;43520;40960;28090;23540;17970;44160;13110;27700;31400;25670;48630;29730;32170;62140;46500;44870;26550;68320;64860;52900;56740;47970;31340;69240;65160;31290;9878;19270;64830;31290;19910;38590;18600;44100;16910;13510;15660;27360;27300;34630;29690;16600;41610;18300;15120;18140;57120;16640;32920;34400;31490;36150;47420;27360;24730;29720;13350;20620;16940;30410;18040;32310;2,54E+04;17150;52130;28480;22620;25090;17750;31880;30670;27090;29180;25790;33820;31970;37640;32880;21720;19890;57350;1,73E+04;42190;22220;20950;21210;15880;16400;11590;18240;16220;15240;15630;19280;14930
NA;29860;52950;48280;33330;24590;15100;16000;21110;30090;20410;23280;30030;17880;18020;20380;32220;21490;12630;31170;69680;52690;60430;63190;47270;31710;65910;28790;55640;30930;45920;63700;10530;17950;28890;63840;31460;24300;24110;28180;12190;26690;18790;13760;24460;14460;21150;27320;38740;9940;19610;18760;44470;31400;14610;25330;26950;33420;11140;17950;27630;16520;36200;19310;20850;37860;18960;17870;20590;3,646E+04;30200;27830;45950;24220;31390;41490;44460;26090;12870;26820;18070;35760;18600;28180;21290;15550;18630;35390;5,947E+04;35170;21170;17580;46820;13300;32160;44080;11940;17570;17670;23040;22590;70750
NA;39980;17580;19830;23190;53270;16980;32030;28980;22210;9370;11990;26110;34630;21110;24580;17270;25020;38910;25010;34310;59750;57090;53630;28700;66360;41760;76440;13960;63870;41240;18570;18020;45030;46660;19160;62850;21430;52000;24290;22740;18120;15940;23200;14700;22670;15070;37540;37760;16910;9100;26380;12920;43820;51010;50380;48190;23500;22270;21370;13820;33900;18030;20630;27990;29840;33880;30260;30230;2,957E+04;29300;71550;26540;27020;29440;30900;23670;25740;35270;23300;44810;22850;24640;31100;27280;41840;21880;45560;4,349E+04;19340;14650;24870;31760;20100;32630;15090;28460;18720;42210;19090;17150;20520
