init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;32680;40860;47120;39520;50290;29420;37100;53390;35860;32160;53580;39540;84330;51730;53910;71870;81310;39180;82020;57870;85430;95500;63590;63610;53830;101500;39970;108200;45620;50920;53640;81790;18080;74940;50580;58140;41520;48880;70220;81430;57130;52130;33050;67680;37480;76520;44320;37530;35620;43130;41060;48750;41040;64220;34140;80450;60150;51590;77550;40080;61200;36740;43130;82220;52860;56050;116900;68090;47880;60710;53270;70480;59770;76190;48540;52400;50110;62090;64720;47920;40510;49650;38440;48830;42100;9595;39870;41410;34610;53970;36370;55690;35930;60290;47160;41270;33120;47890;55640;53140;54930
NA;28620;44900;79540;40700;37250;36930;32670;50720;46010;46190;37720;40330;51610;55630;65220;53520;67710;54810;45840;46140;30660;31700;65060;38150;73040;41840;41420;58280;82870;90260;69660;51230;57640;41350;45170;55700;50020;34920;50450;45630;68550;73450;53640;38360;44330;45640;83890;36190;65850;35050;34570;77600;37620;49360;39630;36070;88360;41700;43480;72540;42720;43500;38800;71420;72080;74380;40940;37760;47930;56250;58440;47690;52310;63240;37220;54000;70410;74350;30620;75050;63080;63630;53160;47570;52140;67260;60510;40060;40650;30880;45870;29760;66830;29850;21930;40650;86130;85350;36930;52020;61100
NA;47570;32380;26250;28560;34890;54240;60930;38370;42780;62590;68640;62040;47860;54200;56310;101300;58750;74260;73220;28530;88730;26020;67470;47000;69430;44530;59600;45690;72570;46310;33700;46700;53890;96520;35240;87790;12710;32520;49090;42990;42420;59120;46180;88450;46580;52200;42910;44760;31720;38680;54220;32570;28740;37040;40270;36720;33270;32640;40780;51890;58930;76040;50510;33250;56370;90680;104600;59870;77090;66580;45910;53110;40390;45880;103700;52300;44340;50270;42340;64700;36530;42780;34110;38540;42620;49580;52390;41090;41830;39560;66110;65320;42570;33000;50210;54730;53180;45570;31530;74910;58710
NA;42610;40080;44270;32190;36630;9799;32960;33170;45540;48450;65040;45250;32010;13870;53560;55420;73750;49620;47580;51260;38000;45430;49450;60030;37340;45320;41000;84360;94380;48890;74020;55430;70610;64270;49400;75450;60150;38270;31240;41580;102700;36070;36960;38510;81750;37130;59650;54960;37340;32890;57390;32890;30580;57630;65740;32670;68600;50050;49850;72200;106000;102300;43150;62720;64410;63480;34730;67010;66030;52780;42090;96600;63930;61210;53380;53190;42700;98650;35680;104500;34600;92370;34680;73090;52110;55200;48270;33630;49870;53500;42940;59670;35070;48850;45340;17830;25830;33100;49060;40820;38890
NA;42490;71290;43090;38220;34140;66000;71000;61240;76080;77700;52000;33860;34760;51630;64720;51900;33240;33480;99550;48950;34130;51000;68840;61180;37390;62680;45780;57300;67250;20930;50600;82800;52760;28500;50350;51410;60750;45990;57330;36170;40220;39110;68880;50130;28970;82070;56100;35580;41570;46640;30680;68350;57520;33160;68310;32410;85410;48050;43080;41860;101700;39260;96990;90060;53550;61750;54900;83430;80060;54670;54920;50440;60530;66520;43380;57240;62130;47410;46090;41970;60260;27210;83940;63490;65940;62190;69740;57280;64800;83020;36500;36970;46310;40500;52540;44890;46740;58530;44470;45180;45600
NA;34540;43910;76720;45160;31470;40670;31660;42990;53320;76840;44040;29570;50140;112000;58510;100700;42910;41310;46790;119900;22020;49100;44050;45120;49200;57960;45040;82330;84490;45900;67420;36680;41670;32180;71760;40100;17560;97950;79380;89830;61360;47730;37750;30320;69360;46990;53070;71230;34340;66340;34720;27520;51250;38230;78750;49330;72950;48680;53830;92580;36860;46760;51740;52550;85980;33230;53350;82150;50030;47440;53870;58130;56130;45450;56720;46750;61910;61260;56900;41060;45460;64800;52590;36560;37040;40290;37870;12430;47430;40150;35060;58860;46840;42220;31340;32430;33750;73210;43690;47250;77280
NA;21220;44670;34210;50350;40850;40820;36220;44390;36230;51930;57230;61510;79770;82470;49370;52980;39300;86120;62560;52170;48750;61370;71530;44280;38830;34730;63890;64830;46920;82580;70940;51110;71240;56210;59140;35590;43310;69400;70410;39980;32220;45430;62420;57400;36100;42320;24890;55850;28100;24530;103400;38990;35620;30750;33480;49770;83690;43910;49070;63660;66970;57360;43870;63930;40890;70710;58660;80430;67260;76770;34840;70240;58620;61940;39380;60000;46850;52060;59830;44860;37040;69410;57590;119200;93120;37800;67100;42300;79020;64650;41310;51310;33810;42470;52510;41690;36100;44500;37490;43700;61320
NA;62790;27170;39360;94040;47090;51510;45350;55000;38850;41180;51450;56160;58130;52320;47720;45730;36890;46560;54570;62250;96360;91950;99500;93900;40080;56740;37480;39590;43100;63400;37290;60240;51550;52030;58350;46950;47070;63210;68300;60740;67840;54120;39930;48890;71140;30230;68120;11150;39390;31110;32330;35340;53630;41110;38780;32470;86090;48170;59060;67120;36770;35880;74660;51800;55920;51560;73490;69650;72930;70560;25430;51010;47850;46040;59700;68840;50150;9243;56660;51850;93070;44720;46260;35310;42450;35220;42310;50380;43110;67870;25170;77120;35790;62520;28420;47110;48160;49040;31760;32490;64780
NA;33000;36970;35510;35000;34240;23180;58320;34270;31480;56690;38500;49500;41120;59670;58700;54090;50340;36720;81990;46220;43320;35880;26980;44910;100400;77180;47660;82050;47120;84420;64780;74630;78570;47940;51460;40810;42150;66220;41190;49550;75490;9821;67450;61000;32560;43680;70360;37640;63010;43050;46800;45490;50270;50190;48100;30890;84520;70230;72310;34100;44360;48950;51270;77710;65160;29070;56700;103500;63030;42460;35450;90000;49860;39340;63430;49010;39660;28700;78710;55730;86920;57200;50190;42050;42810;44780;28160;44560;35770;73190;37610;72520;82050;54750;33310;60460;13290;61410;48610;41800;56170
NA;93490;35350;20100;61260;66490;48850;39670;32910;56490;105000;58450;41580;44700;61250;69610;108500;40340;54080;52650;38000;69270;71960;38400;52940;67820;57830;31310;38600;49090;56300;68240;54210;83770;36370;7999;57580;71040;111200;44620;48450;55570;46270;32660;47810;121100;36540;57820;32180;66480;48620;46990;64440;40080;36220;26620;38250;73990;57900;63940;62620;28200;38610;91100;54860;56230;76730;78650;47770;46560;76670;61750;99750;36120;53240;43680;57960;38240;55800;59090;77150;87820;59390;47980;82530;28430;7727;45960;39270;48880;43160;31600;39720;46760;42810;39940;90290;44780;58210;35030;32370;18050
