init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;177600;135700;100300;193600;330800;183900;501700;127200;238400;155400;138300;201300;206100;294300;67200;265100;894600;236500;81920;236900;244700;99250;125800;80290;91580;78710;146500;124300;87920;143900;728600;127500;304200;220300;850700;183100;774800;90260;215400;187500;135200;209200;165200;188700;190400;298300;105900;240300;122200;312400;268700;127500;158400;159200;2622000;42070;NA;179400;NA;NA;491700;681100;215400;292700;152500;145900;251300;169600;186500;404900;127900;265400;144500;129700;156900;99230;183800;120100;149200;141400;110400;152000;730000;71840;181600;169200;120800;335500;153300;121100;188000;143400;205800;223100;114700;109200;142900;850300;203000;312000;407400
NA;8475000;278300;282800;714400;47370;20380;252800;183800;176500;113800;86450;168400;182400;328200;418100;158800;222000;310300;124100;292500;137800;167900;58690;165500;136400;71360;276500;99550;98000;285000;132600;154000;252500;98250;179500;163300;197100;785400;345700;41130;257900;239500;198100;131000;82750;144100;166500;133500;57330;96610;143800;151100;113800;68820;1022000;123500;NA;102500;NA;NA;145500;198100;2450000;174900;114500;110500;157900;263300;92700;200700;3097000;118900;221700;115800;296400;91540;65650;211300;177500;277600;113400;70060;216000;453100;108600;160000;78380;121100;301300;297800;473400;217400;169800;267700;86310;237800;1268000;235500;332800;112100;207500
NA;152800;260900;68840;189600;1544000;203400;132000;78040;199300;149100;104000;551200;228800;112800;352500;140600;232400;57020;574400;124300;88060;1251000;133100;102300;95910;321900;284700;67110;394700;377900;155100;145600;68420;182600;122200;173000;114900;91840;210600;162100;93080;230100;346900;99380;169300;144500;358500;110000;281200;121000;163900;111900;131000;57940;80380;228100;NA;NA;NA;NA;132700;145000;245500;1415000;2522000;260100;194800;208100;233000;133200;105100;124800;100800;402700;242500;870400;119500;81000;169100;368900;769200;201900;119000;168500;151300;146000;384500;128000;114200;124600;285400;310300;438500;326600;172700;110100;241900;133500;97040;201100;156200
NA;375400;246200;218100;143100;506500;1134000;172100;561700;236000;136900;632600;151500;91400;155200;231400;207600;67230;144100;329900;82610;1004000;163400;556000;38360;154900;148600;206500;110900;133900;268200;185500;78680;216700;197900;63040;116400;146000;153300;61850;321000;98150;175800;431400;200500;443000;126100;146500;133500;139300;120800;270100;149600;282500;93130;57200;179700;NA;NA;NA;NA;34810;1356000;226800;330000;92680;1410000;17570;138700;200300;789400;83460;1009000;174900;109900;123900;166900;186100;123900;110100;463500;136400;622200;74870;122200;155100;145200;94140;145000;276700;408200;173200;333300;210800;141300;154600;99380;200300;204400;236800;201700;133200
NA;547300;349700;84280;125400;305300;237300;162700;234200;145800;342000;232100;460200;498700;572900;258300;98840;133100;116700;145900;193200;69550;149200;68170;258200;139500;135900;142800;61810;120500;336400;625600;105800;217600;260200;133100;111300;56390;116000;216600;62290;107200;857100;177200;256800;153700;16310;349400;161900;1002000;179200;186900;69070;130500;NA;69120;125600;NA;NA;NA;NA;87690;233800;336100;288100;313200;197300;105000;181300;157200;40390;190900;104000;398400;75250;65450;178000;17650;131500;175600;491800;83590;101900;205900;112900;115000;NA;87020;114600;155900;320100;479100;163900;166700;231000;119100;26580;311000;196800;326600;59890;153100
NA;215800;110400;129800;129500;95640;430100;143000;1397000;226400;149900;169200;41760;954600;246300;215100;276200;2452000;482100;533600;93390;NA;94040;113500;275600;90290;75250;100200;144300;558900;106000;184300;166300;289000;127600;107200;110400;212700;107700;102900;193700;216000;99050;119000;198700;210000;165200;169300;143000;179200;251900;50630;145300;110200;NA;111600;83110;NA;NA;NA;NA;215000;257500;183700;3088000;371100;159000;127700;269200;225800;90390;307500;214000;137200;89070;557300;139000;44920;170400;168600;126700;184900;226400;259700;155800;79590;NA;120200;162000;196500;229100;1247000;246700;364300;125600;177100;153800;102900;65650;155800;156300;331000
NA;141400;125900;188200;138900;549500;172900;110200;146000;1173000;205700;146200;849300;139000;250000;582800;122200;155000;172600;1090000;64360;NA;124800;262800;64480;106100;298800;481200;245000;55170;160100;119000;14670;505700;361300;186600;154300;162200;244500;18480;148400;293300;185600;246700;139400;157900;170700;149500;205300;433500;81780;280800;69230;259700;NA;26020;151200;NA;NA;NA;NA;134100;68980;261000;103300;357900;139100;520700;330900;349400;212800;132700;120200;127700;109100;148600;124100;155500;182100;126300;507900;158700;135500;341500;409400;70800;NA;145100;146600;263600;104800;193000;103400;430200;91460;61290;424300;198900;58210;200800;164000;343900
NA;135800;371800;37740;110900;204900;110100;199800;79720;127300;474400;711700;149100;66610;174000;309900;162900;40600;200000;1675000;185200;NA;123200;107100;47370;157600;133100;274900;129200;365900;898800;122000;90700;499300;98470;231800;192200;192800;104400;191100;80100;140700;197700;178000;219800;565600;340100;129800;261600;105100;264900;144900;428700;465600;NA;173400;116800;NA;NA;NA;NA;174500;176900;293300;168100;227400;350800;199300;179800;166200;238300;211400;183100;130400;234000;129900;51210;89720;75970;988600;127500;129300;321500;132500;250100;115500;NA;302300;143400;NA;114600;118000;277100;356500;145600;142200;316200;172900;127900;176900;413800;78170
NA;370200;803600;165200;166100;1258000;204500;119600;154400;161300;97990;251200;859500;226700;114900;321700;1076000;265200;48580;121800;187600;NA;75380;547900;1044000;104900;166900;98920;100800;319700;558100;15330;182100;154500;331300;76880;133600;170100;158800;168200;495800;165000;277300;250700;198500;257200;182200;100100;320500;100500;638600;112600;NA;124900;NA;64880;148500;NA;NA;NA;NA;217600;323000;207600;959700;227500;17960;243300;14470;266900;159600;444600;87610;95050;513700;226400;167200;144300;829600;149400;256400;292500;130800;508000;98230;154400;NA;581000;128600;NA;301000;934400;119500;91700;109600;194200;145800;291800;145900;109300;83420;223100
NA;116700;92920;279400;59730;115200;169200;77700;172100;70220;148400;179500;91320;165100;170300;371400;324200;325100;546100;199200;60110;NA;98760;143500;18300;43490;77570;NA;94600;194900;155400;113900;153900;121800;184100;74760;153400;135100;181700;153100;287000;152300;296200;363000;180300;56440;121900;205700;121900;207000;368000;138800;NA;185400;NA;176800;52540;NA;NA;NA;NA;NA;119000;88440;617100;98080;303800;93620;110700;234300;217100;173100;38230;172900;61410;164900;124500;252100;121500;154700;126000;189400;331900;919800;266900;NA;NA;105400;87640;NA;254100;84510;183400;208400;153500;103400;163300;105500;222700;219300;164900;1191000
