init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;38730;45570;30080;48470;42510;36440;172400;64600;41670;71100;51030;109800;50030;72880;41270;37530;120400;56290;149800;34120;40030;42550;60950;52560;18630;40360;74580;53440;38950;33780;40860;42820;77790;75320;47530;81960;94300;39380;76000;86570;107700;163600;23470;47190;39590;141400;80820;34730;38760;74450;35270;48900;37630;27740;39320;36770;23660;46000;51740;34290;48790;39660;63010;113300;110200;79570;63840;36270;101500;65730;280200;41700;38220;95840;95380;130700;92130;119100;51530;52130;134400;103300;37720;58450;41380;75760;59750;40360;37510;43660;135700;135400;135600;39380;48900;33980;75130;89160;60880;73950;63900
NA;59750;47310;40500;45860;108300;33690;44090;18220;92640;46800;79430;46190;77480;77850;50840;52140;60350;46270;48130;39230;48700;40340;35710;25500;27360;38340;31130;41170;38760;64320;40560;37220;44350;76920;86120;56190;143600;106300;121100;90320;89620;63720;28150;38900;177600;208800;61250;66170;31380;31590;44370;35230;44060;45420;71120;98380;51700;48520;134600;40780;39750;42040;30290;49830;55820;160200;30700;94020;53790;72340;51250;203700;70380;116400;46990;92980;33180;78580;38800;171600;46510;55770;60850;41670;44680;39360;71700;38170;40070;48810;55000;32810;81330;83950;86920;37330;69650;41160;60910;66970;126800
NA;33080;61530;51860;64040;37150;43710;43300;45990;63340;42930;49470;64380;76340;47220;79890;49080;42040;51880;43260;76340;115200;43530;84980;152800;43840;46630;86330;86420;41250;46610;35950;39770;64340;79290;54910;113000;173000;45060;87790;21710;91630;104000;114900;51500;81270;52860;108500;40790;45230;46750;70260;46250;29220;43610;46420;43180;42370;45310;60950;32710;55500;40360;317600;111500;24480;78460;48860;51060;39750;71240;89110;55790;68330;59200;74960;86910;101500;36480;102900;39920;46930;32610;50170;24400;56830;38300;96000;44290;63200;47610;48820;80920;46650;39060;44850;137500;67440;54570;182800;44290;50190
NA;45050;41270;67870;215200;53660;34340;50900;72650;119400;54770;81430;51920;41940;131300;48400;84280;31890;96150;68570;49750;20370;42470;28860;56540;63230;107100;20590;38000;37090;53490;38860;22560;56760;68280;94420;101400;39320;94060;66290;27970;11970;97090;48960;150800;54490;42000;140800;38080;40310;35300;36410;86930;63240;39440;54270;19810;196500;40790;32360;43630;50790;52130;38020;70050;18660;42090;99620;41720;66970;90680;39850;45850;32600;33740;108400;42270;133500;39890;37610;59900;124700;32780;40650;61390;46800;53370;56800;69470;21030;47830;35590;42660;14400;205500;40200;38790;59690;94450;70220;37920;132800
NA;46700;49910;43610;47100;187600;43090;59540;60380;43880;168600;44600;77590;79590;79120;52430;107300;116100;50900;42260;44300;39060;35470;31340;89160;35140;46710;35740;31010;37120;101700;178400;46480;78620;156300;94130;172400;55300;64820;70170;62550;71000;37530;104000;129300;43830;63160;80090;41450;39720;83740;32210;39600;40640;47560;36480;46590;50840;29480;51440;61580;32090;168100;46780;47690;56630;137300;105200;70140;113300;108800;103900;182500;64590;107800;120500;69840;53630;74050;83580;35000;35300;68020;56510;41730;53880;44110;24660;85880;37430;58550;41200;44390;69410;58640;92840;57270;121500;85910;59930;81400;62990
NA;41740;37680;45840;40180;176200;309100;32600;48540;42070;87630;36430;54180;30540;80570;141300;55270;40960;48540;53570;38830;37940;42030;99000;31920;21650;78020;72830;60310;46320;46830;49480;137200;45940;82320;50410;148800;59890;72270;36210;37670;36290;128100;85300;45340;72160;82180;153800;38640;29340;39280;33620;35600;40050;30540;34400;42700;41450;34160;35680;43190;35860;133900;37110;46490;109800;78220;84200;95280;109200;79080;116500;28910;78610;192900;74780;50640;43210;95180;22790;53060;50550;55750;42350;40910;54270;38200;40450;49640;38050;36540;54380;71150;127700;32890;47510;99030;46340;82660;173500;96140;90080
NA;43190;49860;37870;80570;39790;38530;40380;38260;50660;61190;113500;87210;60370;74300;40510;104500;117300;95350;42700;36770;137200;30790;42260;41510;54530;29940;41180;51370;73680;102600;18850;40450;108900;66830;54610;46030;33300;112200;58050;46610;112500;93290;95530;63070;80690;35910;47050;42440;106400;36400;44850;40910;26380;34960;91430;94850;51550;64900;49830;43000;119600;116400;36980;35790;121800;123500;92230;143500;117600;121800;78510;56160;29520;86480;77930;88190;79410;64680;103000;89730;27800;46430;77160;53330;54250;31150;47900;35320;42340;115800;43110;112600;46060;54600;59510;51170;99780;146800;87890;84390;57000
NA;90050;89190;55370;45920;36770;35190;35720;38650;62170;68580;64080;133200;63660;40730;76820;98460;45240;34080;37850;67420;155200;140200;50710;50940;44500;46810;37330;60570;43770;86500;57820;154600;57800;89680;37840;142300;100800;72410;51520;117600;73690;89150;93520;92090;79410;42140;78530;44610;108500;118100;78030;22690;52080;50480;25800;50700;37370;50370;31660;45510;46100;61200;17690;94410;213600;30700;44320;61380;32220;30570;66340;63930;89720;46470;69370;26190;40190;66350;46850;95660;77090;30510;44910;51330;33870;46520;52000;56460;41310;38190;40950;35720;39480;41710;36460;25130;85230;46070;43510;33530;56450
NA;47460;142000;241300;72410;32660;33990;55400;36790;27190;46250;80960;111800;28050;87520;96600;53500;39960;46100;28090;89860;59650;81770;75100;45230;42760;38370;44350;46660;107900;42030;44870;93440;80520;59850;44110;66420;70840;104400;52200;69320;196100;43950;30850;36070;85270;65870;127000;76310;41300;74570;51230;39780;128800;61730;49630;47080;54230;49110;41160;48670;57960;48790;180800;50660;184500;47210;43410;93260;207800;125600;37710;73320;32910;70050;31200;52940;39840;34690;55490;48300;33960;47750;49670;55660;36740;37940;45470;55270;179900;57200;51370;61640;51170;41490;70690;34730;64390;42940;80140;48490;53420
NA;37790;35670;110200;41830;25480;157900;92630;66180;23160;40330;82860;63290;92250;92400;68720;36850;41590;43290;57640;48540;38450;41730;35780;16290;40540;36010;85070;40850;131600;35750;64880;32200;110600;73170;49860;136500;69520;67460;60180;28430;49520;37140;98450;35250;36070;67060;103900;50390;42880;48340;36780;67720;35480;40090;56000;55360;98960;74770;119500;38650;41480;37700;35910;200100;49730;62220;86840;59620;128000;51260;47610;55810;35810;136200;141700;83140;40450;96620;67210;40480;190000;51060;43900;44890;38130;33660;58240;95680;55790;36380;38860;252900;33610;47150;50830;76970;74700;64210;63700;64430;98810
